-10.0,-1.1917935071339807
-9.5,-1.0028358631576277
-9.0,-1.097537906201243
-8.5,-1.66109672545674
-8.0,-6.872851257039022
-7.5,-2.884876240696788
-7.0,-1.3264319011757622
-6.5,-1.0239736543918223
-6.0,-1.0414819265849273
-5.5,-1.4110944706096942
-5.0,-3.5253200871606998
-4.5,-4.743927542950932
-4.0,-1.5298856566092147
-3.5,-1.067855047173987
-3.0,-1.0101086661018
-2.5,-1.2482156506100595
-2.0,-2.4029979666569723
-1.5,-14.136832336410695
-1.0,-1.8508157020640559
-0.5,-1.1394939283057461
0.0,1.0
0.5,1.1394939273332123
1.0,1.8508157168282517
1.5,14.13683383892005
2.0,-2.4029979571267335
2.5,-1.2482156518117808
3.0,-1.0101086658787375
3.5,-1.0678550471389852
4.0,-1.529885649282297
4.5,-4.743927688267203
5.0,-3.525320057931134
5.5,-1.411094471264463
6.0,-1.041481927861261
6.5,1.0239736544417766
7.0,1.3264319004704652
7.5,2.8848762623450903
8.0,-6.8728506279352395
8.5,-1.6610967251753423
9.0,-1.0975379070825295
9.5,-1.0028358632475758
